FID,id,toilet_lokalitet,vejnavn,hus_nr,post_nr,adresse,toilet_betegnelse,handicapadgang,helaarsaabent,aftenlaasning,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,utm_x,utm_y,longitude,latitude,data_opdatering,status,wkb_geometry
toilet_tmf_kk.46,196,"Østre Anlæg, nær legeplads",Stockholmsgade,26,2100,"Stockholmsgade 26, 2100 København Ø",Toilet,Nej,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,724948.58457428,6177453.07553015,12.579121,55.690613,3.kvartal 2019,aktiv,MULTIPOINT ((12.579121048745948 55.69061261184831))
toilet_tmf_kk.47,197,"Fælledparken, dansepladsen",Edel Sauntes Allé,25,2100,"Edel Sauntes Allé 25, 2100 København Ø",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,724008.34970837,6178983.5440674,12.565444,55.704773,3.kvartal 2019,aktiv,MULTIPOINT ((12.565444350472475 55.704772574689855))
toilet_tmf_kk.48,198,Sølvtorvet,Stockholmsgade,2,2100,"Stockholmsgade 2, 2100 København Ø",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,724726.42809035,6177308.35411928,12.575475,55.689418,3.kvartal 2019,aktiv,MULTIPOINT ((12.57547548987727 55.689417646680425))
toilet_tmf_kk.49,199,"Fælledparken, Trafiklegepladsen",Gunnar Nu Hansens Plads ,10,2100,"Gunnar Nu Hansens Plads  10, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,724350.25144677,6179011.65599102,12.570897,55.704867,3.kvartal 2019,aktiv,MULTIPOINT ((12.570897424396312 55.70486672458651))
toilet_tmf_kk.50,200,Svanemølle Strandpark,Standpromenaden ,30,2100,"Standpromenaden  30, 2100 København Ø",Toilet med handicapadgang,Ja,Ja (handicaptoilettet er helårsåbent),Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Handicaptoilettet er åben hele året. De andre toiletter er åbne fra 1. april til 30. september,725027.66399017,6180682.75021759,12.583029,55.719539,3.kvartal 2019,aktiv,MULTIPOINT ((12.583028990506882 55.71953909155203))
toilet_tmf_kk.51,201,"Kildevældsparken, legeplads",Vognmandsmarken ,69,2100,"Vognmandsmarken  69, 2100 København Ø",Toilet,Nej,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,723931.46253435,6180058.09377938,12.565102,55.714445,3.kvartal 2019,aktiv,MULTIPOINT ((12.565101693469991 55.714444598116266))
toilet_tmf_kk.52,203,Hans Knudsens Plads ,Lyngbyvej,90,2100,"Lyngbyvej 90, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723635.08039765,6179875.93162738,12.560245,55.712948,3.kvartal 2019,aktiv,MULTIPOINT ((12.560244604663035 55.71294770015501))
toilet_tmf_kk.53,204,Melchiors Plads ,Melchiors Plads,8,2100,"Melchiors Plads 8, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,725279.38465441,6178912.81596911,12.585572,55.70355,3.kvartal 2019,aktiv,MULTIPOINT ((12.585572403940485 55.7035498824992))
toilet_tmf_kk.54,205,Trianglen,Østerbrogade 29B,29B,2100,"Østerbrogade 29B 29B, 2100 København Ø",Toilet med personale og handicapadgang,Ja,Ja,Personale låser,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,9.00 - 18.30,Nej,Info om jul/nytår offentliggøres medio december hvert år.,724798.15260691,6178414.17951285,12.577521,55.699301,3.kvartal 2019,aktiv,MULTIPOINT ((12.577520816417756 55.6993013489334))
toilet_tmf_kk.55,206,"Fælledparken, Sansehaven",Øster Allé ,1E,2100,"Øster Allé  1E, 2100 København Ø",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,724533.86225098,6178472.88252974,12.573372,55.69995,3.kvartal 2019,aktiv,MULTIPOINT ((12.573372072521385 55.69995013241711))
toilet_tmf_kk.56,207,"Sporsløjfen, v. Svanemølle st.",Østerbrogade,244,2100,"Østerbrogade 244, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,724734.86387614,6180148.56306835,12.577939,55.714884,3.kvartal 2019,aktiv,MULTIPOINT ((12.57793856876019 55.71488436067518))
toilet_tmf_kk.57,208,"Blegdamsremisen, legeplads",Blegdamsvej ,132a,2100,"Blegdamsvej  132a, 2100 København Ø",Toilet,Nej,Ja,Personalet låser ,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9 til 16.30. Lørdag og søndag kl. 10 til 16. OBS: Sommerlukket uge 27-30. Åbningstider legeplads vinter (uge 39-17): Mandag og tirsdag kl. 9 til 17. Onsdag og torsdag kl. 9 til 18. Fredag kl. 9 til 17. Lørdag og søndag kl. 10 til 16.,724741.1819538,6178327.66849511,12.576545,55.698552,3.kvartal 2019,aktiv,MULTIPOINT ((12.576545213825087 55.69855191289665))
toilet_tmf_kk.58,209,Soppesøen,Edel Sauntes Allé,9,2100,"Edel Sauntes Allé 9, 2100 København Ø",Toilet,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Kun åbent når der er vand i soppesøen,723951.58725997,6178490.26232764,12.56414,55.700375,3.kvartal 2019,aktiv,MULTIPOINT ((12.564139723229966 55.70037503015053))
toilet_tmf_kk.59,210,"Tårnlegepladsen, Fælledparken",Frederik V's Vej ,4,2100,"Frederik V's Vej  4, 2100 København Ø",Toilet med handicapadgang,Ja,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,724335.8532528,6178163.5334888,12.569975,55.697267,3.kvartal 2019,aktiv,MULTIPOINT ((12.569974518648268 55.69726747591021))
toilet_tmf_kk.60,211,Folkets park,Stengade,48,2200,"Stengade 48, 2200 København N",Toilet,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723451.22526738,6177003.29388757,12.554982,55.68727,3.kvartal 2019,aktiv,MULTIPOINT ((12.55498197342242 55.68727040257114))
toilet_tmf_kk.61,212,Assistens Kirkegård vest,Kapelvej,2,2200,"Kapelvej 2, 2200 København N",Toilet med handicapadgang,Ja,Ja,Toilettet låser af sig selv ,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,Nej,"Vinterhalvåret (oktober-marts) 07:00-19:00
 Sommerhalvåret (april-september) 07:00-22:00",723315.4518104,6177239.25263761,12.553019,55.689449,3.kvartal 2019,aktiv,MULTIPOINT ((12.553018667840034 55.68944897227366))
toilet_tmf_kk.62,213,Sankt Hans Torv,Nørre Allé,2,2200,"Nørre Allé 2, 2200 København N",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723822.38,6177479.37,12.561263,55.691369,3.kvartal 2019,aktiv,MULTIPOINT ((12.56126256800839 55.691368928255024))
toilet_tmf_kk.63,214,Hans Tavsens Park,Hans Tavsens Gade,20,2200,"Hans Tavsens Gade 20, 2200 København N",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,723005.96809488,6177133.30265526,12.548019,55.688641,3.kvartal 2019,aktiv,MULTIPOINT ((12.548019134649728 55.68864104434014))
toilet_tmf_kk.64,215,"Hans Tavsens Park vest, legeplads",Hans Tavsens Gade ,40,2200,"Hans Tavsens Gade  40, 2200 København N",Toilet,Nej,Ja,Personalet låser/weekend låsevaten,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads (uge 1-52): Mandag til fredag kl. 8.45 til 17. Lørdag og søndag lukket. OBS i soleferien (uge 27-32) er der åben fra kl 9 til 17.,722855.61447689,6177250.06712555,12.545727,55.689757,3.kvartal 2019,aktiv,MULTIPOINT ((12.545727028678575 55.68975724459048))
toilet_tmf_kk.65,216,"Bispeengen, legeplads",Hillerødgade ,23b,2200,"Hillerødgade  23b, 2200 København N",Toilet,Nej,Ja,Personalet låser/weekend låsevaten,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9 til 18. Lørdag 10 til 17. Søndag lukket. OBS. I juli er der fra mandag til onsdag samt fredag åben fra 9.30 til 17. Torsdag 9. til 19. Åbningstider legeplads vinter (uge 39-17): Mandag til fredag kl. 9.30 til 17.30. Lørdag og søndag lukket.,722222.67663271,6177861.08888358,12.536173,55.695527,3.kvartal 2019,aktiv,MULTIPOINT ((12.536173445008787 55.69552717252409))
toilet_tmf_kk.66,217,"Hans Tavsens Park øst, legeplads",Hans Tavsens Gade ,40,2200,"Hans Tavsens Gade  40, 2200 København N",Toilet,Nej,Ja,Personalet låser/weekend låsevaten,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9 til 17.30. Lørdag kl 10 til 17. Søndag lukket. Åbningstider legeplads mellemsæson (uge 39-43 & 10-17): Mandag til fredag 9 til 17. Lørdag og søndag lukket. Åbningstider legeplads vinter (uge 44-9): Mandag til fredag kl. 9 til 16.30. Lørdag og søndag lukket.,723118.3834016,6177104.21646527,12.54978,55.688329,3.kvartal 2019,aktiv,MULTIPOINT ((12.549780149466402 55.688328549645625))
toilet_tmf_kk.81,233,Rødegårdsparken,Rødegård,8A,2300,"Rødegård 8A, 2300 København S",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,727131.09070835,6174269.93641223,12.611136,55.661051,3.kvartal 2019,aktiv,MULTIPOINT ((12.611135718149878 55.66105152531239))
toilet_tmf_kk.67,218,"Nørrebroparken, legeplads",Stefansgade,30,2200,"Stefansgade 30, 2200 København N",Toilet,Nej,Ja,Personalet låser/weekend låsevaten,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9 til 17.30. Lørdag og søndag kl. 10 til 17. OBS det er kun i juli at legepladsen er åben om lørdagen. Åbningstider legeplads mellemsæson (uge 39-43 & 10-17): Mandag til fredag 9 til 17.Lørdag og søndag lukket. Åbningstider legeplads vinter (uge 44-9): Mandag til fredag kl. 9 til 16.30. Lørdag og søndag lukket.,722595.70655986,6177730.43324304,12.541991,55.694184,3.kvartal 2019,aktiv,MULTIPOINT ((12.541990585864959 55.69418450640242))
toilet_tmf_kk.68,219,"Wesselsgade, legeplads",Wesselsgade,12,2200,"Wesselsgade 12, 2200 København N",Toilet,Nej,Ja,Personalet låser/weekend driften,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9.30 til 17.30. Lørdag og søndag kl. 10 til 17. Åbningstider legeplads vinter (uge 39-17): Mandag til fredag kl. 9.30 til 17. Lørdag  og søndag lukket.,723773.61322558,6176874.71599033,12.559995,55.685969,3.kvartal 2019,aktiv,MULTIPOINT ((12.559994997287033 55.68596884175916))
toilet_tmf_kk.69,220,Balders Plads,Baldersgade,60,2200,"Baldersgade 60, 2200 København N",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,722953.18023584,6178543.24995469,12.548328,55.70131,3.kvartal 2019,aktiv,MULTIPOINT ((12.548327658466789 55.70130992185285))
toilet_tmf_kk.70,221,Blågårds Plads,Blågårds Plads,5B,2200,"Blågårds Plads 5B, 2200 København N",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,723584.5209416,6176896.08719211,12.557011,55.686248,3.kvartal 2019,aktiv,MULTIPOINT ((12.557010667589426 55.6862476040516))
toilet_tmf_kk.71,222,Korsgade 58,Korsgade,58B,2200,"Korsgade 58B, 2200 København N",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,723388.92359966,6176930.62750739,12.553934,55.686647,3.kvartal 2019,aktiv,MULTIPOINT ((12.553933750286665 55.68664738910195))
toilet_tmf_kk.72,223,Nørrebroparken,Stefansgade,24,2200,"Stefansgade 24, 2200 København N",Toilet med handicapadgang,Ja,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,722647.70285783,6177808.78960254,12.54288,55.694863,3.kvartal 2019,aktiv,MULTIPOINT ((12.54287981858716 55.6948633769465))
toilet_tmf_kk.73,224,Blågårds Plads,Blågårds Plads,11,2200,"Blågårds Plads 11, 2200 København N",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723549.28753162,6176916.64947165,12.556468,55.686448,3.kvartal 2019,aktiv,MULTIPOINT ((12.55646810660173 55.68644823036109))
toilet_tmf_kk.74,225,"Mimersparken, legeplads",Borgmestervangen ,51,2200,"Borgmestervangen  51, 2200 København N",Toilet,Nej,Ja,Personalet låser,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9 til 18. Lørdag og søndag kl. 10 til 17. Åbningstider legeplads vinter (uge 39-17): Mandag til fredag kl. 9 til 17. Lørdag kl 11 til16. Søndag lukket.,722485.75603965,6178908.32790609,12.541201,55.704799,3.kvartal 2019,aktiv,MULTIPOINT ((12.541200908882407 55.704798533821176))
toilet_tmf_kk.75,226,"Byoasen, legeplads",Møllegade ,25c,2200,"Møllegade  25c, 2200 København N",Toilet med handicapadgang,Ja,Ja,Personalet låser/weekend driften,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9.30 til 18. Lørdag og søndag kl. 10 til 15. Åbningstider legeplads mellemsæson (uge 6-17 & 39-48): Mandag til fredag 9.30 til 16.30. Lørdag og søndag 10 til 13. Åbningstider legeplads vinter (uge 49-5): Mandag til fredag kl. 9.30 til 16.30. Lørdag og søndag kl. 10 til 13.,723568.3487163,6177548.34829305,12.557286,55.692105,3.kvartal 2019,aktiv,MULTIPOINT ((12.557285627202003 55.692104579883434))
toilet_tmf_kk.76,227,BaNanna Park,Nannasgade,6,2200,"Nannasgade 6, 2200 København N",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåben,Døgnåben,Døgnåben,Døgnåben,Døgnåben,Døgnåben,Døgnåben,Ja,0,723015.63,6178384.16,12.54919,55.699854,3.kvartal 2019,aktiv,MULTIPOINT ((12.54918996145256 55.699854487132576))
toilet_tmf_kk.77,228,"Remiseparken, Byggelegepladsen",Peder Lykkes Vej,73,2300,"Peder Lykkes Vej 73, 2300 København S",Toilet,Nej,Ja,Personalet låser ,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Åbningstider legeplads sommer (uge 18-42): Mandag til fredag kl. 9.30 til 18. Lørdag kl. 10 til 16. Søndag luket. Åbningstider legeplads vinter (uge 43-17): Mandag til fredag kl. 9.30 til 17. Lørdag og søndag lukket.,726307.90058032,6173292.42046344,12.597272,55.652669,3.kvartal 2019,aktiv,MULTIPOINT ((12.59727194052799 55.65266941742882))
toilet_tmf_kk.78,229,Gunløgsgade ,Gunløgsgade,26,2300,"Gunløgsgade 26, 2300 København S",Toilet med handicapadgang,Ja,Ja,Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,0,725120.43583508,6174571.77137257,12.579486,55.664694,3.kvartal 2019,aktiv,MULTIPOINT ((12.579486102334641 55.66469380840303))
toilet_tmf_kk.79,230,"Islands Brygge, havneparken",Islands Brygge,12,2300,"Islands Brygge 12, 2300 København S",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,725035.24,6174979.35,12.578468,55.668388,3.kvartal 2019,aktiv,MULTIPOINT ((12.578468362615146 55.66838839343021))
toilet_tmf_kk.80,232,Sundbyvesterparken,Englandsvej,59B,2300,"Englandsvej 59B, 2300 København S",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,726625.54244367,6173083.76024621,12.602138,55.65065,3.kvartal 2019,aktiv,MULTIPOINT ((12.602137823429095 55.650650260462726))
toilet_tmf_kk.82,234,"Bredegrund, legeplads",Bredegrund,8,2300,"Bredegrund 8, 2300 København S",Toilet,Nej,Ja,Personalet låser/weekend låsevaten,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Når legepladsen er lukket da ca. ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Åbningstider legeplads sommer (uge 18-42): Mandag til fredag kl. 9 til 17. Lørdag og søndag kl. 10 til 16. Åbningstider legeplads vinter (uge 43-17): Mandag til fredag kl. 9 til 17. Lørdag lukket. Søndag kl. 10 til 16.,727290.9247945,6174051.15068605,12.61349,55.659015,3.kvartal 2019,aktiv,MULTIPOINT ((12.613490263267778 55.65901483150382))
